"CCCHF2"	"CCCHF3"	"CCCHF5"	"CCCSF1"	"CCCSF3"	"CCCSF4"	"CCMEF1"	"CCMEF4"	"CCMEF5"	"HDCHF2"	"HDCHF4"	"HDCHF5"	"HDCSF1"	"HDCSF2"	"HDCSF4"	"HDMEF2"	"HDMEF3"	"HDMEF5"	"HSPCHF1"	"HSPCHF2"	"HSPCHF3"	"HSPCSF2"	"HSPCSF3"	"HSPCSF5"	"HSPMEF3"	"HSPMEF4"	"HSPMEF5"	"SSBCHF1"	"SSBCHF3"	"SSBCHF4"	"SSBCSF1"	"SSBCSF3"	"SSBCSF4"	"SSBMEF2"	"SSBMEF4"	"SSBMEF5"	"XGCHF1"	"XGCHF3"	"XGCHF4"	"XGCSF1"	"XGCSF2"	"XGCSF3"	"XGMEF1"	"XGMEF2"	"XGMEF3"	"YSCHF1"	"YSCHF4"	"YSCHF5"	"YSCSF1"	"YSCSF3"	"YSCSF5"	"YSMEF1"	"YSMEF3"	"YSMEF4"
"CCCHF2"	0	0.787431290507835	0.591557962096973	0.785708425629666	0.784108622528509	0.783862498974485	0.693822298793995	0.711912380014767	0.547091640003282	0.071745015998031	0.119287882517023	0.10337189269013	0.150094347362376	0.105669045861022	0.0424563130691608	0.229674296496841	0.21884486011978	0.25248174583641	0.237960456148987	0.245098039215686	0.237016982525228	0.225531216670769	0.254450734268603	0.230535728935926	0.279022069078678	0.274140618590532	0.288579867093281	0.78595454918369	0.791451308556895	0.161292969070473	0.792517843957667	0.789851505455739	0.790097629009763	0.797440315038149	0.791779473295594	0.791984576257281	0.769259168102387	0.796127656083354	0.791328246779883	0.788210681762245	0.791328246779883	0.79711215029945	0.790466814340799	0.789277217163016	0.791451308556895	0.16350808105669	0.0838050701452129	0.114898679136927	0.264869964722291	0.246697842316843	0.241078021166626	0.321027155632127	0.280744933956846	0.280129625071786
"CCCHF3"	0.787431290507835	0	0.577405857740586	0.796414800229715	0.788005578800558	0.796578882599065	0.691935351546476	0.717778324719009	0.552178193453113	0.0795799491344655	0.124169333005169	0.111986217080975	0.156247436212979	0.113052752481746	0.0525063581918123	0.2377553531873	0.225572237263106	0.260029534826483	0.236319632455493	0.24054475346624	0.232094511444745	0.225079990155058	0.248051521863976	0.231930429075396	0.248543768972024	0.245467224546722	0.265936500123062	0.794979079497908	0.800845024202149	0.161251948478136	0.790220690786775	0.798629912215932	0.801501353679547	0.801419312494872	0.799860529986053	0.791738452703257	0.769177126917713	0.80486504225121	0.798588891623595	0.796127656083354	0.796825006153089	0.799655427024366	0.802321765526294	0.799204200508655	0.798014603330872	0.160144392485027	0.0800311756501764	0.121585035687915	0.262818935105423	0.243047009598819	0.248338666010337	0.325539420789236	0.292763967511691	0.285585363852654
"CCCHF5"	0.591557962096973	0.577405857740586	0	0.573755025022561	0.571375830666995	0.573919107391911	0.553121667076873	0.562269259168102	0.48186889818689	0.382681105915169	0.423865780621872	0.144105340881122	0.266551809008122	0.386783165148905	0.35523832964148	0.241570268274674	0.199524161128887	0.203380096808598	0.188120436459102	0.189597177783247	0.188079415866765	0.176511608827632	0.196242513741898	0.18180326523915	0.216260562802527	0.209615226843876	0.232422676183444	0.568914595126754	0.570227254081549	0.127820165723193	0.568709492165067	0.567930100910657	0.567930100910657	0.568832553942079	0.569981130527525	0.56432028878497	0.565632947739765	0.570104192304537	0.569365821642465	0.569078677496103	0.572237263106079	0.570760521781934	0.574944622200345	0.57207318073673	0.570145212896874	0.125030765444253	0.0700221511198622	0.419927803757486	0.214414636147346	0.19792435802773	0.220977930921322	0.267495282631881	0.232340634998769	0.232709820329806
"CCCSF1"	0.785708425629666	0.796414800229715	0.573755025022561	0	0.798096644515547	0.803962589219788	0.689597177783247	0.707030929526622	0.544384280909016	0.0768315694478628	0.127656083353844	0.109032734432685	0.155509065550907	0.111534990565264	0.043768972023956	0.239273115103782	0.225162031339733	0.254327672491591	0.243088030191156	0.250717860365904	0.245303142177373	0.231643284929034	0.256583805070145	0.240749856427927	0.259332184756748	0.25449175486094	0.278242677824268	0.793420296989089	0.803347280334728	0.178439576667487	0.794979079497908	0.801214209533186	0.794158667651161	0.800188694724752	0.794076626466486	0.793666420543113	0.76581343834605	0.802198703749282	0.797563376815161	0.793871523504799	0.795020100090245	0.798014603330872	0.794158667651161	0.795594388382968	0.788825990647305	0.175650176388547	0.0892608089260809	0.11748297645418	0.275125112806629	0.25092296332759	0.250963983919928	0.327426368036754	0.287185166953811	0.283575354828124
"CCCSF3"	0.784108622528509	0.788005578800558	0.571375830666995	0.798096644515547	0	0.794979079497908	0.684920830256789	0.708917876774141	0.542538354253835	0.0764213635244892	0.123389941750759	0.108130281401263	0.15390926244975	0.109935187464107	0.0422101895151366	0.233202067437854	0.220321601443925	0.253548281237181	0.242595783083108	0.248297645418	0.23915005332677	0.226146525555829	0.258183608171302	0.237099023709902	0.253138075313807	0.253425219460169	0.273607350890147	0.801747477233571	0.79588153252933	0.176880794158668	0.790261711379112	0.796866026745426	0.793502338173763	0.803552383296415	0.796701944376077	0.793256214619739	0.773607350890147	0.793133152842727	0.796168676675691	0.790056608417426	0.791451308556895	0.791984576257281	0.795758470752318	0.795020100090245	0.793420296989089	0.176552629419969	0.0895479530724423	0.112929690704734	0.271351218311592	0.247805398309952	0.24411354499959	0.320945114447453	0.277258183608171	0.282057592911642
"CCCSF4"	0.783862498974485	0.796578882599065	0.573919107391911	0.803962589219788	0.794979079497908	0	0.694806793010091	0.711994421199442	0.545040610386414	0.0838460907375502	0.129091804085651	0.117154811715481	0.158626630568545	0.116416441053409	0.046435310525884	0.244892936254	0.229141028796456	0.266059561900074	0.242349659529084	0.249610304372795	0.24210353597506	0.229141028796456	0.25728115513988	0.237386167856264	0.258798917056362	0.254860940191976	0.278816966116991	0.790384773156124	0.798219706292559	0.177906308967101	0.790835999671835	0.797071129707113	0.79571745015998	0.788415784723931	0.791574370333908	0.787431290507835	0.760111576011158	0.799491344655017	0.793625399950775	0.78935925834769	0.78517515792928	0.795963573714004	0.791246205595209	0.791164164410534	0.792353761588317	0.174173435064402	0.0899991795881533	0.118590532447289	0.275043071621954	0.254860940191976	0.249036016080072	0.330995159570104	0.289564361309377	0.284970054967594
"CCMEF1"	0.693822298793995	0.691935351546476	0.553121667076873	0.689597177783247	0.684920830256789	0.694806793010091	0	0.813561407826729	0.696324554926573	0.105956190007384	0.236893920748216	0.271474280088605	0.319017146607597	0.276724915907786	0.0667815243252112	0.233694314545902	0.218762818935105	0.249487242595783	0.224669784231684	0.228156534580359	0.226802855033227	0.213676265485274	0.239396176880794	0.22302896053819	0.242144556567397	0.238657806218722	0.261055049634917	0.688571662974813	0.685413077364837	0.202067437853803	0.69156616621544	0.687094921650669	0.690089424891295	0.685700221511199	0.689761260152597	0.686479612765608	0.702149479038477	0.692673722208549	0.696775781442284	0.689104930675199	0.684920830256789	0.684715727295102	0.692304536877512	0.689843301337271	0.689761260152597	0.16707687259004	0.0851177291000083	0.117893182377554	0.253466240052506	0.234719829354336	0.233161046845516	0.305726474690295	0.272499794897038	0.270161621133809
"CCMEF4"	0.711912380014767	0.717778324719009	0.562269259168102	0.707030929526622	0.708917876774141	0.711994421199442	0.813561407826729	0	0.68598736565756	0.10554598408401	0.240831897612601	0.260808926080893	0.304126671589138	0.266838953154484	0.0696939863811633	0.231684305521372	0.218926901304455	0.242841906637132	0.219419148412503	0.225449175486094	0.221059972105997	0.206087455902863	0.230535728935926	0.213676265485274	0.232463696775781	0.230412667158914	0.254819919599639	0.707810320781032	0.711338091722044	0.193494134055296	0.710722782836984	0.712363606530478	0.705964394125851	0.708671753220117	0.709246041512839	0.701698252522766	0.722003445729756	0.712527688899828	0.709287062105177	0.706702764787924	0.707359094265321	0.704610714578719	0.708876856181803	0.707523176634671	0.705431126425466	0.162318483878907	0.0851587496923456	0.118467470670277	0.246164574616457	0.227418163918287	0.234309623430962	0.304372795143162	0.270079579949134	0.269464271064074
"CCMEF5"	0.547091640003282	0.552178193453113	0.48186889818689	0.544384280909016	0.542538354253835	0.545040610386414	0.696324554926573	0.68598736565756	0	0.0952908359996718	0.22023956025925	0.341250307654443	0.495364673065879	0.392567068668472	0.0600951677742226	0.189597177783247	0.182951841824596	0.196939863811633	0.186725736319632	0.191402083846091	0.185331036180162	0.17405037328739	0.196283534334236	0.185002871441464	0.195216998933465	0.191238001476741	0.215358109771105	0.539748953974895	0.541471818853064	0.164861760603823	0.541184674706703	0.540036098121257	0.539666912790221	0.542046107145787	0.538108130281401	0.53581097711051	0.568709492165067	0.544507342686028	0.543317745508245	0.542866518992534	0.541348757076052	0.538887521535811	0.546271228156535	0.540856509968004	0.539707933382558	0.126712609730084	0.0700221511198622	0.103494954467143	0.2132660595619	0.194929854787103	0.192837804577898	0.256132578554434	0.221100992698335	0.222167528099106
"HDCHF2"	0.071745015998031	0.0795799491344655	0.382681105915169	0.0768315694478628	0.0764213635244892	0.0838460907375502	0.105956190007384	0.10554598408401	0.0952908359996718	0	0.651899253425219	0.378004758388711	0.257486258101567	0.448149971285585	0.613093773074083	0.146443514644351	0.125892197883337	0.0945934859299369	0.0682172450570186	0.0654278447780786	0.0678890803183197	0.058618426450078	0.0768725900402002	0.072565427844778	0.0783493313643449	0.0721142013290672	0.0788825990647305	0.0660021330708015	0.0693658216424645	0.107268848962179	0.0648535564853556	0.062228238575765	0.0623513003527771	0.0640741652309459	0.0659200918861268	0.064197227007958	0.0869226351628517	0.0646484535236689	0.0731807367298384	0.0631717121995241	0.0634178357535483	0.0631717121995241	0.0685454097957174	0.0684633686110427	0.0647715153006809	0.0703092952662236	0.0654278447780786	0.615513988021987	0.0806054639428994	0.0776519812946099	0.109812125687095	0.0858560997620805	0.0859791615390926	0.086840593978177
